,DateTime,Probability of Recession in 3 Months
544,2000-11-01,10.579352850561463
545,2000-12-01,38.31541743849698
546,2001-01-01,65.56597110935058
547,2001-02-01,66.85569429331508
548,2001-03-01,82.78769616449608
549,2001-04-01,81.94906969731619
550,2001-05-01,85.79477746079647
551,2001-06-01,62.669708264112955
552,2001-07-01,27.70894473885619
553,2001-08-01,50.42941336849793
554,2001-09-01,59.74284602923774
555,2001-10-01,35.52820743582856
556,2001-11-01,44.68704854566852
557,2001-12-01,16.50735329227473
558,2002-01-01,4.644207217313578
559,2002-02-01,6.8548110815413565
560,2002-03-01,8.705765393062848
561,2002-04-01,22.004252594456375
562,2002-05-01,14.730896012702033
563,2002-06-01,5.087939727229696
564,2002-07-01,5.8347124732677
565,2002-08-01,9.096785652604922
566,2002-09-01,14.175395669940372
567,2002-10-01,20.60525897301204
568,2002-11-01,8.607573530127866
569,2002-12-01,16.225557184964146
570,2003-01-01,7.806108971237791
571,2003-02-01,52.92766054305531
572,2003-03-01,53.48452508227268
573,2003-04-01,41.39142381895908
574,2003-05-01,6.03384513860874
575,2003-06-01,4.1659861596485825
576,2003-07-01,1.3586237418849123
577,2003-08-01,8.529856259792723
578,2003-09-01,11.359298131401374
579,2003-10-01,2.564253486355028
580,2003-11-01,0.34468665165832135
581,2003-12-01,0.4933287867515901
582,2004-01-01,1.0643614330660967
583,2004-02-01,1.997333614258423
584,2004-03-01,2.7035860524733835
585,2004-04-01,1.540137750669146
586,2004-05-01,4.0993967714825885
587,2004-06-01,12.125546959714484
588,2004-07-01,5.219884615519277
589,2004-08-01,4.990714713562738
590,2004-09-01,1.9685830834760054
591,2004-10-01,2.5379829753433114
592,2004-11-01,4.823345457759842
593,2004-12-01,1.1408042435732568
594,2005-01-01,0.5577322811291197
595,2005-02-01,0.36800352997943264
596,2005-03-01,1.5570563166988904
597,2005-04-01,6.77518881461765
598,2005-05-01,3.3095568408498366
599,2005-06-01,0.7447929878139803
600,2005-07-01,1.3635094683422722
601,2005-08-01,1.9087179812231625
602,2005-09-01,44.25733590058627
603,2005-10-01,47.06157430169
604,2005-11-01,18.48644550703966
605,2005-12-01,0.08774466868999298
606,2006-01-01,0.11173705289593272
607,2006-02-01,0.5588008005020129
608,2006-03-01,1.34585833386609
609,2006-04-01,1.4789185127824567
610,2006-05-01,4.395142893656612
611,2006-06-01,12.4894706392638
612,2006-07-01,22.860576641227226
613,2006-08-01,18.364506283296578
614,2006-09-01,2.3351101684284004
615,2006-10-01,0.7483783776024211
616,2006-11-01,1.3884860335565463
617,2006-12-01,0.5187625541680063
618,2007-01-01,2.524856056538738
619,2007-02-01,2.264887613796418
620,2007-03-01,7.259520544141651
621,2007-04-01,4.513793585863368
622,2007-05-01,6.17814550530511
623,2007-06-01,4.037763780797832
624,2007-07-01,8.424586288344926
625,2007-08-01,13.988360174619174
626,2007-09-01,11.211715159970481
627,2007-10-01,8.184845569189747
628,2007-11-01,19.222743994384928
629,2007-12-01,32.394810434681176
630,2008-01-01,32.01273338279407
631,2008-02-01,54.588238062626715
632,2008-03-01,53.101244785464274
633,2008-04-01,65.71833311221553
634,2008-05-01,65.98317639022184
635,2008-06-01,71.77337364034315
636,2008-07-01,98.91042948335098
637,2008-08-01,99.00184696308543
638,2008-09-01,90.22496465378254
639,2008-10-01,60.776349831678544
640,2008-11-01,75.42358031835761
641,2008-12-01,57.96198048530812
642,2009-01-01,76.46650787944509
643,2009-02-01,75.63155767919056
644,2009-03-01,86.66701693969117
645,2009-04-01,93.7809719293
646,2009-05-01,34.45694543694344
647,2009-06-01,11.937372970373872
648,2009-07-01,26.517703260310554
649,2009-08-01,22.86602953460033
650,2009-09-01,3.49506969542972
651,2009-10-01,6.440695897151727
652,2009-11-01,10.09658318282618
653,2009-12-01,5.82384959520823
654,2010-01-01,1.6621520142848567
655,2010-02-01,1.3967904500646
656,2010-03-01,0.6036477205043411
657,2010-04-01,0.5615639231791647
658,2010-05-01,0.10096033612398969
659,2010-06-01,0.22367836094190352
660,2010-07-01,1.6880892689869142
661,2010-08-01,5.211172677911691
662,2010-09-01,6.8093941543793335
663,2010-10-01,11.76676033038575
664,2010-11-01,6.631696840679524
665,2010-12-01,1.9783883451964357
666,2011-01-01,4.146060443861188
667,2011-02-01,3.580175253955531
668,2011-03-01,3.568969495734109
669,2011-04-01,8.6575745903815
670,2011-05-01,11.708281927337794
671,2011-06-01,16.087915306218292
672,2011-07-01,9.002589238423298
673,2011-08-01,13.986297921235291
674,2011-09-01,16.965502331674998
675,2011-10-01,7.175027977632453
676,2011-11-01,3.9637873887500064
677,2011-12-01,0.4402569922604016
678,2012-01-01,1.2920886842493928
679,2012-02-01,28.128685232104544
680,2012-03-01,12.157100787271702
681,2012-04-01,0.7618585748105033
682,2012-05-01,1.0126243097033694
683,2012-06-01,2.917947841979185
684,2012-07-01,3.6761167311397003
685,2012-08-01,11.62427585398973
686,2012-09-01,4.53625757475038
687,2012-10-01,6.660268267501124
688,2012-11-01,1.1231398533254833
689,2012-12-01,0.6816665827386714
690,2013-01-01,1.6852603700954205
691,2013-02-01,1.4258668125080476
692,2013-03-01,0.5537327642969103
693,2013-04-01,0.4095578322676374
694,2013-05-01,0.8565448872445813
695,2013-06-01,2.8752939945661637
696,2013-07-01,10.585582141129635
697,2013-08-01,3.8293404646537965
698,2013-09-01,2.651850852532789
699,2013-10-01,0.5315223279694692
700,2013-11-01,0.9398887673910394
701,2013-12-01,0.5922647649299506
702,2014-01-01,1.3883884437063898
703,2014-02-01,2.815821070066704
704,2014-03-01,0.9764433044097132
705,2014-04-01,0.24329080176812568
706,2014-05-01,0.3193738993900297
707,2014-06-01,0.3483047870417977
708,2014-07-01,0.6103686629103322
709,2014-08-01,0.7508274842280116
710,2014-09-01,0.6088676512490565
711,2014-10-01,0.855905872697349
712,2014-11-01,0.14003339672399306
713,2014-12-01,0.4287741981556792
714,2015-01-01,2.5617691391630615
715,2015-02-01,4.62716589303227
716,2015-03-01,5.23522867435986
717,2015-04-01,12.165450955251345
718,2015-05-01,6.525210436745965
719,2015-06-01,11.588144155211921
720,2015-07-01,4.331756012163623
721,2015-08-01,1.5967902087027142
722,2015-09-01,3.5621815587091987
723,2015-10-01,11.206302885489094
724,2015-11-01,11.268500652181501
725,2015-12-01,24.75745333138093
726,2016-01-01,49.81445893153804
727,2016-02-01,7.038421724450927
728,2016-03-01,7.658740086742455
729,2016-04-01,11.250486228198042
730,2016-05-01,4.67976293140282
731,2016-06-01,2.8111820374874696
732,2016-07-01,1.631096246433117
733,2016-08-01,1.2759349314819701
734,2016-09-01,1.5268853126144677
735,2016-10-01,4.529295588270088
736,2016-11-01,11.908874297830607
737,2016-12-01,5.494046331011759
738,2017-01-01,4.912120475944448
739,2017-02-01,1.5353800590673927
740,2017-03-01,0.6343384237652572
741,2017-04-01,0.328472007822711
742,2017-05-01,0.2168094265698528
743,2017-06-01,0.5872300344776704
744,2017-07-01,0.9580166026808001
745,2017-08-01,3.20349141919678
746,2017-09-01,10.62230550720642
747,2017-10-01,1.8511737805056327
748,2017-11-01,0.7076896695480173
749,2017-12-01,0.30990529891141705
750,2018-01-01,2.9572448192425327
751,2018-02-01,1.5896153509970645
752,2018-03-01,2.104750464980043
753,2018-04-01,0.6293929785442742
754,2018-05-01,3.0421363380014554
